index,cve,type,date
236,cve-2016-7862,Trojan,11/18/2016
237,cve-2016-7863,Trojan,11/18/2016
238,cve-2016-7864,Trojan,11/18/2016
239,cve-2016-7865,Trojan,11/18/2016
240,cve-2016-7892,Trojan,12/18/2016
241,cve-2017-0010,Trojan,3/24/2017
242,cve-2017-0015,Trojan,3/24/2017
243,cve-2017-0018,Trojan,3/24/2017
244,cve-2017-0037,Trojan,3/1/2017
245,cve-2017-0038,Trojan,2/20/2017
246,cve-2017-0050,Trojan,3/24/2017
247,cve-2017-0067,Trojan,3/24/2017
248,cve-2017-0141,Trojan,3/24/2017
249,cve-2017-0149,Trojan,3/24/2017
250,cve-2017-0154,Trojan,3/24/2017
251,cve-2017-0243,Trojan,7/21/2017
252,cve-2017-0261,Trojan,5/11/2017
253,cve-2017-0262,Trojan,5/10/2017
254,cve-2017-2982,Trojan,3/13/2017
255,cve-2017-2984,Trojan,3/13/2017
256,cve-2017-2990,Trojan,2/15/2017
257,cve-2017-2991,Trojan,2/15/2017
258,cve-2017-2994,Trojan,2/15/2017
259,cve-2017-2995,Trojan,2/15/2017
260,cve-2017-3078,Trojan,6/28/2017
261,cve-2017-3079,Trojan,6/28/2017
262,cve-2017-3081,Trojan,6/28/2017
263,cve-2017-3082,Trojan,6/28/2017
264,cve-2017-3083,Trojan,6/28/2017
265,cve-2017-3084,Trojan,6/28/2017
266,cve-2017-3099,Trojan,7/21/2017
267,cve-2017-3100,Trojan,7/21/2017
268,cve-2017-6753,Trojan,7/18/2017
269,cve-2017-8464,Trojan,6/28/2017
270,cve-2017-8496,Trojan,6/28/2017
271,cve-2017-8497,Trojan,6/28/2017
272,cve-2017-8524,Trojan,6/28/2017
273,cve-2017-8592,Trojan,7/21/2017
274,cve-2017-8594,Trojan,7/21/2017
275,cve-2017-8598,Trojan,7/21/2017
276,cve-2017-8601,Trojan,7/21/2017
277,cve-2017-8605,Trojan,7/21/2017
278,cve-2017-8617,Trojan,7/21/2017
279,cve-2017-8618,Trojan,7/21/2017
280,cve-2017-8619,Trojan,7/21/2017
281,cve-2013-3910,,
282,cve-2014-2799,,
283,cve-2014-4065,,
284,cve-2014-4080,,
285,cve-2014-4081,,
286,cve-2014-4082,,
287,cve-2014-4084,,
288,cve-2014-4086,,
289,cve-2014-4088,,
290,cve-2014-4089,,
291,cve-2014-4092,,
292,cve-2014-4095,,
293,cve-2014-4127,,
294,cve-2014-4129,,
295,cve-2014-4130,,
296,cve-2014-4141,,
297,cve-2014-6334,,
298,cve-2014-6337,,
299,cve-2014-6339,,
300,cve-2014-6341,,
301,cve-2014-6347,,
302,cve-2014-6348,,
303,cve-2014-6353,,
304,cve-2014-6355,,
305,cve-2015-0071,,
306,cve-2015-0090,,
307,cve-2015-0092,,
308,cve-2015-0093,,
309,cve-2015-0304,,
310,cve-2015-0306,,
311,cve-2015-0337,,
312,cve-2015-1733,,
313,cve-2015-1738,,
314,cve-2015-2372,,
315,cve-2015-2383,,
316,cve-2015-2386,,
317,cve-2015-2388,,
318,cve-2015-2389,,
319,cve-2015-2390,,
320,cve-2015-2397,,
321,cve-2015-2406,,
322,cve-2015-2408,,
323,cve-2015-2409,,
324,cve-2015-2421,,
325,cve-2015-2444,,
326,cve-2015-3118,,
327,cve-2015-3119,,
328,cve-2015-3121,,
329,cve-2015-3122,,
330,cve-2015-3132,,
331,cve-2015-3133,,
332,cve-2015-3134,,
333,cve-2015-6071,,
334,cve-2016-0931,,
335,cve-2016-0937,,
336,cve-2016-1007,,
337,cve-2016-1038,,
338,cve-2016-1039,,
339,cve-2016-1040,,
340,cve-2016-1041,,
341,cve-2016-1042,,
342,cve-2016-1044,,
343,cve-2016-1050,,
344,cve-2016-1051,,
345,cve-2016-1052,,
346,cve-2016-1062,,
347,cve-2016-3234,,
348,cve-2016-3279,,
349,cve-2016-3280,,
