CVE,Website Name,Disclosed Date
CVE-2010-3654,Rapid7,2010-10-28
CVE-2008-2639,Rapid7,2008-06-11
CVE-2012-2122,Rapid7,2012-06-09
CVE-2013-6031,Rapid7,2013-11-11
CVE-2014-3120,Rapid7,2013-12-09
CVE-2015-7755,Rapid7,2015-12-20
CVE-2015-3043,Rapid7,2015-06-23
MS11-038,Rapid7,2010-06-08
MS14-017,Rapid7,2014-04-01
CVE-2017-6527,Rapid7,2017-03-08
MS14-012,Rapid7,2014-02-13
CVE-2017-5521,Rapid7,
CVE-2016-9361,Rapid7,
CVE-2016-9361,Rapid7,2015-07-28
MS10-104,Rapid7,2010-12-14
MS12-020,Rapid7,
MS12-020,Rapid7,2012-03-16
MS16-032,Rapid7,2016-03-21
CVE-2012-5076,Rapid7,2012-10-16
MS10-087,Rapid7,2010-11-09
CVE-2015-2219,Rapid7,2015-04-12
CVE-2016-3213,Rapid7,2016-06-14
CVE-2011-2462,Rapid7,2011-12-06
CVE-2010-3962,Rapid7,2010-11-03
CVE-2009-0075,Rapid7,2009-02-10
CVE-2017-7442,Rapid7,2017-07-24
CVE-2007-3039,Rapid7,2007-12-11
CVE-2015-2843,Rapid7,2015-04-21
CVE-2015-1701,Rapid7,2015-05-12
CVE-2010-2861,Rapid7,
CVE-2016-4997,Rapid7,2016-06-03
CVE-2017-5982,Rapid7,2017-02-12
CVE-2007-0038,Rapid7,2007-03-28
CVE-2011-4862,Rapid7,
CVE-2011-4862,Rapid7,2011-12-23
CVE-2014-4971,Rapid7,2014-07-18
CVE-2014-4877,Rapid7,2014-10-27
CVE-2013-3893,Rapid7,2013-09-17
CVE-2015-5119,Rapid7,2015-07-06
CVE-2013-3897,Rapid7,2013-10-08
CVE-2014-2206,Rapid7,2014-03-09
CVE-2014-6271,Rapid7,2014-09-24
CVE-2011-2005,Rapid7,2011-11-30
CVE-2016-8869,Rapid7,2016-10-25
CVE-2010-1527,Rapid7,2010-08-20
CVE-2010-0094,Rapid7,2010-03-31
MS15-001,Rapid7,2014-09-30
MS09-004,Rapid7,2008-12-09
MS09-002,Rapid7,2009-02-10
MS15-004,Rapid7,2015-01-13
MS13-069,Rapid7,2013-09-10
CVE-2015-2996,Rapid7,2015-06-03
CVE-2015-0936,Rapid7,2015-04-01
CVE-2013-3568,Rapid7,2013-07-12
MS09-053,Rapid7,2009-08-31
CVE-2012-0002,Rapid7,
