cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2016-9111,,,2016-11-07,f
cve-2016-9373,,,2016-11-17,f
cve-2016-1733,,,2016-03-23,f
cve-2016-5366,,,2016-06-14,f
cve-2016-6677,,,2016-10-10,f
cve-2016-8811,,2016-10-31,2016-11-08,f
cve-2012-1370,,,2012-08-06,f
cve-2014-3375,,,2014-10-31,f
cve-2012-0808,,,2012-03-19,f
cve-2013-3252,,,2014-04-10,f
cve-2012-1612,,,2012-09-06,f
cve-2016-7505,,,2016-10-28,f
cve-2014-9887,,,2016-08-06,f
cve-2015-4602,,,2016-05-16,f
cve-2015-0690,,,2015-04-06,f
cve-2012-6700,,,2016-04-11,f
cve-2010-0565,,,2010-02-19,f
cve-2010-0586,,,2010-03-25,f
cve-2009-0243,,,2009-01-21,f
cve-2009-0345,,,2009-01-29,f
cve-2009-0418,,,2009-02-04,f
cve-2009-0482,,,2009-02-09,f
cve-2009-0499,,,2009-02-09,f
cve-2009-0582,,,2009-03-14,f
cve-2009-2532,,,2009-10-14,f
cve-2009-0367,,2009-02-25,2009-03-04,f
cve-2010-3074,,,2010-09-17,f
cve-2013-3258,,,2014-06-02,f
cve-2017-6301,,,2017-02-23,f
cve-2009-0632,,,2009-03-12,f
cve-2009-0910,,,2009-04-06,f
cve-2009-0935,,,2009-03-17,f
cve-2010-0739,,,2010-04-16,f
cve-2010-0815,,,2010-05-11,f
cve-2013-3267,,,2013-05-03,f
cve-2015-1983,,,2015-10-03,f
cve-2009-0992,,,2009-04-15,f
cve-2009-1084,,,2009-03-25,f
cve-2015-0776,,,2015-06-12,f
cve-2009-1129,,,2009-05-12,f
cve-2009-1160,,,2009-04-09,f
cve-2011-1435,,,2011-05-03,f
cve-2012-2019,2012-07-12,2012-10-29,2012-07-10,f
cve-2009-1164,,,2009-07-29,f
cve-2010-0831,,,2010-06-18,f
cve-2010-0856,,,2010-04-13,f
cve-2010-0869,,,2010-04-13,f
cve-2013-3286,,,2013-11-06,f
cve-2015-2264,,,2015-03-12,f
cve-2012-4993,,,2012-09-19,t
cve-2010-0890,,,2010-04-13,f
cve-2010-1084,,,2010-04-06,f
cve-2010-1129,,,2010-03-26,f
cve-2009-1179,,,2009-04-23,f
cve-2009-1202,,,2009-06-25,f
cve-2009-1276,,,2009-04-09,f
cve-2009-1212,,2009-03-31,2009-04-01,f
cve-2012-3423,,,2012-08-07,f
cve-2012-4106,,,2013-10-13,f
cve-2012-5415,,,2013-04-16,f
cve-2009-1531,2009-06-10,,2009-06-10,f
cve-2013-3693,,,2013-10-11,f
cve-2010-1215,,,2010-07-30,f
cve-2013-3304,,,2014-10-30,t
cve-2010-1264,,,2010-06-08,f
cve-2010-1291,,,2010-05-13,f
cve-2010-1449,,,2010-05-27,f
cve-2010-1527,,2010-09-19,2010-08-23,f
cve-2010-1598,,,2010-04-29,f
cve-2013-3327,,,2013-05-16,f
cve-2009-1553,,2009-05-05,2009-05-06,f
cve-2010-1637,,,2010-06-22,f
cve-2010-1792,,,2010-07-30,f
cve-2017-6308,,,2017-02-23,f
cve-2015-6832,,,2016-01-18,f
cve-2009-1672,,,2009-05-18,f
cve-2010-1811,,,2010-09-09,f
cve-2010-2058,,,2010-06-07,f
cve-2013-3360,,,2013-09-11,f
cve-2009-1955,,2009-06-01,2009-06-06,f
cve-2009-1701,2009-06-08,,2009-06-10,f
cve-2009-1861,,,2009-06-11,f
cve-2014-3841,,,2014-05-22,f
cve-2014-4333,,,2014-06-19,f
cve-2013-6221,2014-06-11,2014-06-27,2014-06-18,t
cve-2010-2216,,,2010-08-11,f
cve-2014-5108,,,2014-07-28,f
cve-2016-6840,,,2016-09-26,f
cve-2010-2363,,,2010-08-30,f
cve-2010-2372,,,2010-07-13,f
cve-2017-6311,,,2017-03-09,f
cve-2015-7749,,,2015-10-19,f
cve-2009-2500,,,2009-10-14,f
cve-2009-2536,,,2009-07-20,f
cve-2009-2827,,,2009-11-10,f
cve-2009-2172,,2009-06-15,2009-06-23,f
cve-2009-2345,,,2009-07-07,f
cve-2009-2828,,,2009-11-10,f
cve-2010-2397,,,2010-07-13,f
cve-2010-2399,,,2010-07-13,f
cve-2015-0698,,,2015-04-15,f
cve-2009-2848,,,2009-08-18,f
cve-2011-3703,,,2011-09-23,f
cve-2010-2537,,,2010-09-30,f
cve-2013-3574,,2013-06-10,2013-06-14,f
cve-2016-6895,,,2016-08-30,f
cve-2009-3037,,,2009-09-01,f
cve-2009-3048,,,2009-09-02,f
cve-2010-2552,,,2010-08-11,f
cve-2010-2572,,,2010-11-09,f
cve-2012-2083,,,2012-08-31,f
cve-2010-2686,,,2010-07-09,f
cve-2010-2730,,,2010-09-15,f
cve-2010-2881,,,2010-08-26,f
cve-2009-3482,,,2009-09-30,f
cve-2009-4226,,,2009-12-08,f
cve-2009-4044,,,2009-11-20,f
cve-2013-2761,,,2013-04-04,f
cve-2010-2963,,2010-10-28,2010-11-26,f
cve-2017-6334,,,2017-03-05,f
cve-2009-3584,,,2009-12-23,f
cve-2009-4500,,,2009-12-31,f
cve-2009-4514,,,2009-12-31,f
cve-2009-4515,,,2009-12-31,f
cve-2009-4542,,,2010-01-04,f
cve-2013-5887,,,2014-01-14,f
cve-2013-3406,,,2013-11-15,f
cve-2014-3781,,,2014-06-11,f
cve-2009-2395,,2009-06-29,2009-07-09,f
cve-2009-3463,,,2009-11-04,f
