cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2015-1750,,,2015-06-09,f
cve-2015-6082,,,2015-11-11,f
cve-2015-2442,,,2015-08-14,f
cve-2015-2443,2015-08-11,,2015-08-14,f
cve-2016-3304,,2016-08-17,2016-08-09,f
cve-2016-7203,,2016-11-18,2016-11-10,f
cve-2016-3242,2016-07-12,,2016-07-12,f
cve-2016-4174,2016-07-12,,2016-07-12,f
cve-2016-4284,,,2016-09-14,f
cve-2016-4209,,,2016-07-12,f
cve-2016-0105,,,2016-03-09,f
cve-2016-0112,2016-03-08,,2016-03-09,f
cve-2016-0157,2016-04-12,,2016-04-12,f
cve-2015-1638,,,2015-04-14,f
cve-2015-1639,,,2015-04-14,f
cve-2015-1651,,,2015-04-14,f
cve-2016-2211,,,2016-06-30,f
cve-2016-3261,,,2016-07-12,f
cve-2016-3383,2016-10-11,,2016-10-13,f
cve-2016-4153,,,2016-06-16,f
cve-2016-4287,,,2016-09-14,f
cve-2016-4272,,,2016-09-14,f
cve-2016-5025,,,2016-11-08,f
cve-2015-4451,,,2015-07-15,f
cve-2016-7857,2016-11-08,,2016-11-08,f
cve-2015-1646,,,2015-04-14,f
cve-2015-3062,2015-05-12,,2015-05-13,f
cve-2016-1317,,,2016-02-08,f
cve-2016-4117,,,2016-05-10,f
cve-2015-8651,,,2015-12-28,f
cve-2016-7196,,,2016-11-10,f
cve-2016-7568,,,2016-09-28,f
cve-2016-3207,,,2016-06-15,f
cve-2015-1635,,,2015-04-14,t
cve-2015-6760,,,2015-10-15,f
cve-2016-4172,,,2016-07-12,f
cve-2016-4180,,,2016-07-12,f
cve-2016-4142,,,2016-06-16,f
cve-2016-4145,,,2016-06-16,f
cve-2016-3316,,2016-08-16,2016-08-09,f
cve-2016-8864,,,2016-11-02,f
cve-2016-4126,,,2016-06-16,f
cve-2016-2208,,2016-05-17,2016-05-19,t
cve-2016-4175,,2016-07-13,2016-07-12,f
cve-2016-4184,,,2016-07-12,f
cve-2016-4188,,,2016-07-12,f
cve-2016-4211,,,2016-07-12,f
cve-2016-4213,,,2016-07-12,f
cve-2016-0021,,,2016-03-09,f
cve-2016-0022,,,2016-02-10,f
cve-2016-8806,,2016-10-31,2016-11-08,f
cve-2015-0316,,,2015-02-05,f
cve-2016-3206,,,2016-06-15,f
cve-2016-4141,,,2016-06-16,f
cve-2016-4129,,,2016-06-16,f
cve-2016-4150,,,2016-06-16,f
cve-2016-4143,,,2016-06-16,f
cve-2016-4152,,,2016-06-16,f
cve-2016-4156,,,2016-06-16,f
cve-2016-4185,,,2016-07-12,f
cve-2016-4283,,,2016-09-14,f
cve-2016-4154,,,2016-06-16,f
