cve,assign_date,edb_date,date_diff
CVE-2015-0430,2014-12-17,,
CVE-2015-0431,2014-12-17,,
CVE-2015-0432,2014-12-17,,
CVE-2015-0433,2014-12-17,,
CVE-2015-0434,2014-12-17,,
CVE-2015-0435,2014-12-17,,
CVE-2015-0436,2014-12-17,,
CVE-2015-0437,2014-12-17,,
CVE-2015-0438,2014-12-17,,
CVE-2015-0439,2014-12-17,,
CVE-2015-0440,2014-12-17,,
CVE-2015-0441,2014-12-17,,
CVE-2015-0443,2014-12-17,,
CVE-2015-0444,2014-12-17,,
CVE-2015-0445,2014-12-17,,
CVE-2015-0446,2014-12-17,,
CVE-2015-0447,2014-12-17,,
CVE-2015-0448,2014-12-17,,
CVE-2015-0449,2014-12-17,,
CVE-2015-0450,2014-12-17,,
CVE-2015-0451,2014-12-17,,
CVE-2015-0452,2014-12-17,,
CVE-2015-0453,2014-12-17,,
CVE-2015-0455,2014-12-17,,
CVE-2015-0456,2014-12-17,,
CVE-2015-0457,2014-12-17,,
CVE-2015-0458,2014-12-17,,
CVE-2015-0459,2014-12-17,,
CVE-2015-0460,2014-12-17,,
CVE-2015-0461,2014-12-17,,
CVE-2015-0462,2014-12-17,,
CVE-2015-0463,2014-12-17,,
CVE-2015-0464,2014-12-17,,
CVE-2015-0465,2014-12-17,,
CVE-2015-0466,2014-12-17,,
CVE-2015-0467,2014-12-17,,
CVE-2015-0468,2014-12-17,,
CVE-2015-0469,2014-12-17,,
CVE-2015-0470,2014-12-17,,
CVE-2015-0471,2014-12-17,,
CVE-2015-0472,2014-12-17,,
CVE-2015-0473,2014-12-17,,
CVE-2015-0474,2014-12-17,,
CVE-2015-0475,2014-12-17,,
CVE-2015-0476,2014-12-17,,
CVE-2015-0477,2014-12-17,,
CVE-2015-0478,2014-12-17,,
CVE-2015-0479,2014-12-17,,
CVE-2015-0480,2014-12-17,,
CVE-2015-0482,2014-12-17,,
CVE-2015-0483,2014-12-17,,
CVE-2015-0484,2014-12-17,,
CVE-2015-0485,2014-12-17,,
CVE-2015-0486,2014-12-17,,
CVE-2015-0487,2014-12-17,,
CVE-2015-0488,2014-12-17,,
CVE-2015-0489,2014-12-17,,
CVE-2015-0490,2014-12-17,,
CVE-2015-0491,2014-12-17,,
CVE-2015-0492,2014-12-17,,
CVE-2015-0493,2014-12-17,,
CVE-2015-0494,2014-12-17,,
CVE-2015-0495,2014-12-17,,
CVE-2015-0496,2014-12-17,,
CVE-2015-0497,2014-12-17,,
CVE-2015-0498,2014-12-17,,
CVE-2015-0499,2014-12-17,,
CVE-2015-0500,2014-12-17,,
CVE-2015-0501,2014-12-17,,
CVE-2015-0502,2014-12-17,,
CVE-2015-0503,2014-12-17,,
CVE-2015-0504,2014-12-17,,
CVE-2015-0505,2014-12-17,,
CVE-2015-0506,2014-12-17,,
CVE-2015-0507,2014-12-17,,
CVE-2015-0508,2014-12-17,,
CVE-2015-0509,2014-12-17,,
CVE-2015-0510,2014-12-17,,
CVE-2015-0511,2014-12-17,,
CVE-2015-0512,2014-12-17,,
CVE-2015-0513,2014-12-17,,
CVE-2015-0514,2014-12-17,,
CVE-2015-0515,2014-12-17,,
CVE-2015-0516,2014-12-17,,
CVE-2015-0517,2014-12-17,,
CVE-2015-0518,2014-12-17,,
CVE-2015-0519,2014-12-17,,
