cve,assign_date,published_date,date_diff
CVE-2015-0263,11/18/2014,6/3/2015,197
CVE-2015-0264,11/18/2014,6/3/2015,197
CVE-2015-0265,11/18/2014,4/11/2016,510
CVE-2015-0266,11/18/2014,4/11/2016,510
CVE-2015-0267,11/18/2014,5/19/2015,182
CVE-2015-0268,11/18/2014,2/16/2015,90
CVE-2015-0271,11/18/2014,3/10/2015,112
CVE-2015-0272,11/18/2014,11/17/2015,364
CVE-2015-0273,11/18/2014,3/30/2015,132
CVE-2015-0274,11/18/2014,3/16/2015,118
CVE-2015-0275,11/18/2014,10/19/2015,335
CVE-2015-0277,11/18/2014,8/17/2015,272
CVE-2015-0278,11/18/2014,5/18/2015,181
CVE-2015-0279,11/18/2014,3/26/2015,128
CVE-2015-0282,11/18/2014,3/24/2015,126
CVE-2015-0283,11/18/2014,3/30/2015,132
CVE-2015-0284,11/18/2014,4/14/2016,513
CVE-2015-0285,11/18/2014,3/19/2015,121
CVE-2015-0286,11/18/2014,3/19/2015,121
CVE-2015-0287,11/18/2014,3/19/2015,121
CVE-2015-0288,11/18/2014,3/19/2015,121
CVE-2015-0289,11/18/2014,3/19/2015,121
CVE-2015-0290,11/18/2014,3/19/2015,121
CVE-2015-0291,11/18/2014,3/19/2015,121
CVE-2015-0292,11/18/2014,3/19/2015,121
CVE-2015-0293,11/18/2014,3/19/2015,121
CVE-2015-0295,11/18/2014,3/25/2015,127
CVE-2015-0297,11/18/2014,4/24/2015,157
CVE-2015-0298,11/18/2014,8/24/2015,279
CVE-2015-0299,11/18/2014,9/29/2015,315
CVE-2015-0301,12/1/2014,1/13/2015,43
CVE-2015-0302,12/1/2014,1/13/2015,43
CVE-2015-0303,12/1/2014,1/13/2015,43
CVE-2015-0304,12/1/2014,1/13/2015,43
CVE-2015-0305,12/1/2014,1/13/2015,43
CVE-2015-0306,12/1/2014,1/13/2015,43
CVE-2015-0307,12/1/2014,1/13/2015,43
CVE-2015-0308,12/1/2014,1/13/2015,43
CVE-2015-0309,12/1/2014,1/13/2015,43
CVE-2015-0310,12/1/2014,1/23/2015,53
